,Maker,Taker,Total,Desc
Arrival Mid,      0.00,    102.95,    102.95,Mid at order creation
Arrival Mark,      0.00,    102.80,    102.80,SR Mark at order creation
Arrival U Mid,      0.00,   3780.69,   3780.69,Mid of underlying at order creation
Arrival Mid Vol,     0.00%,    22.22%,    22.22%,Implied volatility of Arrival Mid at Arrival U Mid
Arrival Mark Vol,     0.00%,    22.19%,    22.19%,Implied volatility of Arrival Mark at Arrival U Mid
Qwap,      0.00,    118.27,    118.27,SR-calculated Qwap
Qwap U,      0.00,   3785.98,   3785.98,SR-calculated Qwap for underlying price
Qwap Vol,     0.00%,    24.56%,    24.56%,Implied volatility of Qwap at Qwap U
Delta,        0%,       45%,       45%,Option Contract Delta
Vega,      0.00,      5.53,      5.53,Option Contract Vega
Child Orders,         0,        20,        20,Number of child orders which had fills
Avg Child Size,         0,        37,        37,Avg size of child orders which had fills
Filled Ctr,         0,       386,       386,Total number of contracts filled
Ctr Fill Rate,        0%,       52%,       52%,Filled Contracts divided by total size sent by child orders which had fills
Avg Fill Pct Spread,     0.00%,     0.00%,     0.00%,0% means fill is on bid at fill time; 100% means offer
Exec Px,      0.00,    105.77,    105.77,Average filled price
Px Range,      0.00,      8.10,      8.10,High minus low fill price
Slip Arr Mid Px,      0.00,      2.82,      2.82,Amount by which Exec Px was more favorable than mid at order creation
Slip Arr Mid USD,         0,"   108,930","   108,930",Above  * contracts filled * contract multiplier
Slip Arr Mark Px,      0.00,      2.97,      2.97,Amount by which Exec Px was more favorable than SR mark at order creation
Slip Arr Mark USD,         0,"   114,828","   114,828",Above  * contracts filled * contract multiplier
Slip Qwap Px,      0.00,    -12.50,    -12.50,Amount by which Exec Px was more favorable than the above price
Slip Qwap USD,         0,"  -482,345","  -482,345",Above  * contracts filled * contract multiplier
Theo U Mid,      0.00,   3783.73,   3783.73,Average underlying price if hedging mid-market each fill time
Exec DTheo Arr Mid Px,      0.00,    104.41,    104.41,Exec Px delta-adjusted from Theo U Mid to Arrival Mid
DTheo Px Range,      0.00,      1.58,      1.58,High minus low delta-adjusted fill price
DTheo Slip Arr Mid Px,      0.00,      1.46,      1.46,Amount by which Exec DTheo Arr Mid Px was more favorable than Arrival Mid
DTheo Slip Arr Mid USD,         0,"    56,478","    56,478",Above  * contracts filled * contract multiplier
DTheo Slip Arr Mark Px,      0.00,      1.62,      1.62,Amount by which Exec DTheo Arr Mid Px was more favorable than Arrival Mark
DTheo Slip Arr Mark USD,         0,"    62,375","    62,375",Above  * contracts filled * contract multiplier
Exec DTheo Qwap Px,      0.00,    106.78,    106.78,Exec Px delta-adjusted from Theo U Mid to Qwap U
DTheo Slip Qwap Px,      0.00,    -11.49,    -11.49,Amount by which Exec DTheo Qwap Px was more favorable than Qwap
DTheo Slip Qwap USD,         0,"  -443,464","  -443,464",Above  * contracts filled * contract multiplier
Exec DTheo Vol,     0.00%,    22.48%,    22.48%,Implied volatility of Exec DTheo Arr Mid Px at Arrival Mid
DTheo Vol Range,     0.00%,     0.28%,     0.28%,High minus low vol
DTheo Slip Arr Mid Vol,     0.00%,     0.26%,     0.26%,Implied volatility of DTheo Slip Arr Mid Px at Arrival Mid
DTheo Slip Arr Mark Vol,     0.00%,     0.29%,     0.29%,Implied volatility of DTheo Slip Arr Mark Px at Arrival Mid
DTheo Slip Qwap Vol,     0.00%,    -2.08%,    -2.08%,Implied volatility of DTheo Slip Qwap Px at Qwap U
Act U Mid,      0.00,   3785.39,   3785.39,Actual average underlying price from executed hedge
Exec DAct Arr Mid Px,      0.00,    103.67,    103.67,Exec Px delta-adjusted from Act U Mid to Arrival Mid
DAct Slip Arr Mid Px,      0.00,      0.72,      0.72,Amount by which Exec DAct Arr Mid Px was more favorable than Arrival Mid
DAct Slip Arr Mid USD,         0,"    27,803","    27,803",Above  * contracts filled * contract multiplier
DAct Slip Arr Mark Px,      0.00,      0.87,      0.87,Amount by which Exec DAct Arr Mid Px was more favorable than Arrival Mark
DAct Slip Arr Mark USD,         0,"    33,701","    33,701",Above  * contracts filled * contract multiplier
Exec DAct Qwap Px,      0.00,    106.04,    106.04,Exec Px delta-adjusted from Act U Mid to Qwap U
DAct Slip Qwap Px,      0.00,    -12.23,    -12.23,Amount by which Exec DAct Qwap Px was more favorable than Qwap
DActSlip Qwap USD,         0,"  -472,139","  -472,139",Above  * contracts filled * contract multiplier
Exec DAct Vol,     0.00%,    22.35%,    22.35%,Implied volatility of Exec DAct Arr Mid Px at Arrival Mid
DAct Slip Arr Mid Vol,     0.00%,     0.13%,     0.13%,Implied volatility of DTheo Slip Arr Mid Px at Arrival Mid
DAct Slip Arr Mark Vol,     0.00%,     0.16%,     0.16%,Implied volatility of DTheo Slip Arr Mark Px at Arrival Mid
DAct Slip Qwap Vol,     0.00%,    -2.21%,    -2.21%,Implied volatility of DTheo Slip Qwap Px at Qwap U
