,Maker,Taker,Total,Desc
Order,,,,Buy 1000 SPX 20210416 3920 Put 
Arrival Mid,     84.50,      0.00,     84.50,Mid at first available time
Arrival Mark,     84.58,      0.00,     84.58,SR Mark at first available time
Arrival U Mid,   3926.35,      0.00,   3926.35,Mid of underlying at first available time
Arrival Mid Vol,    17.86%,     0.00%,    17.86%,Implied volatility of Arrival Mid at Arrival U Mid
Arrival Mark Vol,    17.87%,     0.00%,    17.87%,Implied volatility of Arrival Mark at Arrival U Mid
Delta,      -48%,        0%,      -48%,Option Contract Delta
Vega,      4.82,      0.00,      4.82,Option Contract Vega
Child Orders,        12,         0,        12,Number of child orders which had fills
Avg Child Size,       172,         0,       172,Avg size of child orders which had fills
Filled Ctr,"     1,000",         0,"     1,000",Total number of contracts filled
Ctr Fill Rate,       48%,        0%,       48%,Filled Contracts divided by total size sent by child orders which had fills
Avg Fill Pct Spread,    91.20%,     0.00%,    91.20%,0% means fill is on bid at fill time; 100% means offer
Exec Px,     85.01,      0.00,     85.01,Average filled price
Px Range,      0.43,      0.00,      0.43,High minus low fill price
Slip Arr Mid Px,     -0.51,      0.00,     -0.51,Amount by which Exec Px was more favorable than mid at order creation
Slip Arr Mid USD,"   -51,080",         0,"   -51,080",Above  * contracts filled * contract multiplier
Slip Arr Mark Px,     -0.43,      0.00,     -0.43,Amount by which Exec Px was more favorable than SR mark at order creation
Slip Arr Mark USD,"   -42,710",         0,"   -42,710",Above  * contracts filled * contract multiplier
Theo U Mid,   3925.94,      0.00,   3925.94,Average underlying price if hedging mid-market each fill time
Exec DTheo Arr Mid Px,     84.82,      0.00,     84.82,Exec Px delta-adjusted from Theo U Mid to Arrival Mid
DTheo Px Range,      0.25,      0.00,      0.25,High minus low delta-adjusted fill price
DTheo Slip Arr Mid Px,     -0.32,      0.00,     -0.32,Amount by which Exec DTheo Arr Mid Px was more favorable than Arrival Mid
DTheo Slip Arr Mid USD,"   -31,547",         0,"   -31,547",Above  * contracts filled * contract multiplier
DTheo Slip Arr Mark Px,     -0.23,      0.00,     -0.23,Amount by which Exec DTheo Arr Mid Px was more favorable than Arrival Mark
DTheo Slip Arr Mark USD,"   -23,176",         0,"   -23,176",Above  * contracts filled * contract multiplier
Exec DTheo Vol,    17.92%,     0.00%,    17.92%,Implied volatility of Exec DTheo Arr Mid Px at Arrival Mid
DTheo Vol Range,     0.05%,     0.00%,     0.05%,High minus low vol
DTheo Slip Arr Mid Vol,    -0.07%,     0.00%,    -0.07%,Implied volatility of DTheo Slip Arr Mid Px at Arrival Mid
DTheo Slip Arr Mark Vol,    -0.05%,     0.00%,    -0.05%,Implied volatility of DTheo Slip Arr Mark Px at Arrival Mid
Act U Mid,   3925.92,      0.00,   3925.92,Actual average underlying price from executed hedge
Exec DAct Arr Mid Px,     84.80,      0.00,     84.80,Exec Px delta-adjusted from Act U Mid to Arrival Mid
DAct Slip Arr Mid Px,     -0.30,      0.00,     -0.30,Amount by which Exec DAct Arr Mid Px was more favorable than Arrival Mid
DAct Slip Arr Mid USD,"   -30,229",         0,"   -30,229",Above  * contracts filled * contract multiplier
DAct Slip Arr Mark Px,     -0.22,      0.00,     -0.22,Amount by which Exec DAct Arr Mid Px was more favorable than Arrival Mark
DAct Slip Arr Mark USD,"   -21,859",         0,"   -21,859",Above  * contracts filled * contract multiplier
Exec DAct Vol,    17.92%,     0.00%,    17.92%,Implied volatility of Exec DAct Arr Mid Px at Arrival Mid
DAct Slip Arr Mid Vol,    -0.06%,     0.00%,    -0.06%,Implied volatility of DTheo Slip Arr Mid Px at Arrival Mid
DAct Slip Arr Mark Vol,    -0.05%,     0.00%,    -0.05%,Implied volatility of DTheo Slip Arr Mark Px at Arrival Mid
