,Maker,Taker,Total,Desc
Order,,,,Sell 1000 SPX 20210416 3725 Put 
Arrival Mid,     38.90,      0.00,     38.90,Mid at first available time
Arrival Mark,     38.85,      0.00,     38.85,SR Mark at first available time
Arrival U Mid,   3920.00,      0.00,   3920.00,Mid of underlying at first available time
Arrival Mid Vol,    23.25%,     0.00%,    23.25%,Implied volatility of Arrival Mid at Arrival U Mid
Arrival Mark Vol,    23.23%,     0.00%,    23.23%,Implied volatility of Arrival Mark at Arrival U Mid
Delta,      -23%,        0%,      -23%,Option Contract Delta
Vega,      3.66,      0.00,      3.66,Option Contract Vega
Child Orders,        13,         0,        13,Number of child orders which had fills
Avg Child Size,        91,         0,        91,Avg size of child orders which had fills
Filled Ctr,"     1,000",         0,"     1,000",Total number of contracts filled
Ctr Fill Rate,       84%,        0%,       84%,Filled Contracts divided by total size sent by child orders which had fills
Avg Fill Pct Spread,   -16.07%,     0.00%,   -16.07%,0% means fill is on bid at fill time; 100% means offer
Exec Px,     36.02,      0.00,     36.02,Average filled price
Px Range,      5.42,      0.00,      5.42,High minus low fill price
Slip Arr Mid Px,     -2.88,      0.00,     -2.88,Amount by which Exec Px was more favorable than mid at order creation
Slip Arr Mid USD,"  -288,100",         0,"  -288,100",Above  * contracts filled * contract multiplier
Slip Arr Mark Px,     -2.83,      0.00,     -2.83,Amount by which Exec Px was more favorable than SR mark at order creation
Slip Arr Mark USD,"  -282,700",         0,"  -282,700",Above  * contracts filled * contract multiplier
Theo U Mid,   3926.31,      0.00,   3926.31,Average underlying price if hedging mid-market each fill time
Exec DTheo Arr Mid Px,     37.47,      0.00,     37.47,Exec Px delta-adjusted from Theo U Mid to Arrival Mid
DTheo Px Range,      2.28,      0.00,      2.28,High minus low delta-adjusted fill price
DTheo Slip Arr Mid Px,     -1.43,      0.00,     -1.43,Amount by which Exec DTheo Arr Mid Px was more favorable than Arrival Mid
DTheo Slip Arr Mid USD,"  -142,927",         0,"  -142,927",Above  * contracts filled * contract multiplier
DTheo Slip Arr Mark Px,     -1.38,      0.00,     -1.38,Amount by which Exec DTheo Arr Mid Px was more favorable than Arrival Mark
DTheo Slip Arr Mark USD,"  -137,527",         0,"  -137,527",Above  * contracts filled * contract multiplier
Exec DTheo Vol,    22.86%,     0.00%,    22.86%,Implied volatility of Exec DTheo Arr Mid Px at Arrival Mid
DTheo Vol Range,     0.62%,     0.00%,     0.62%,High minus low vol
DTheo Slip Arr Mid Vol,    -0.39%,     0.00%,    -0.39%,Implied volatility of DTheo Slip Arr Mid Px at Arrival Mid
DTheo Slip Arr Mark Vol,    -0.38%,     0.00%,    -0.38%,Implied volatility of DTheo Slip Arr Mark Px at Arrival Mid
Act U Mid,   3925.79,      0.00,   3925.79,Actual average underlying price from executed hedge
Exec DAct Arr Mid Px,     37.35,      0.00,     37.35,Exec Px delta-adjusted from Act U Mid to Arrival Mid
DAct Slip Arr Mid Px,     -1.55,      0.00,     -1.55,Amount by which Exec DAct Arr Mid Px was more favorable than Arrival Mid
DAct Slip Arr Mid USD,"  -154,857",         0,"  -154,857",Above  * contracts filled * contract multiplier
DAct Slip Arr Mark Px,     -1.49,      0.00,     -1.49,Amount by which Exec DAct Arr Mid Px was more favorable than Arrival Mark
DAct Slip Arr Mark USD,"  -149,457",         0,"  -149,457",Above  * contracts filled * contract multiplier
Exec DAct Vol,    22.83%,     0.00%,    22.83%,Implied volatility of Exec DAct Arr Mid Px at Arrival Mid
DAct Slip Arr Mid Vol,    -0.42%,     0.00%,    -0.42%,Implied volatility of DTheo Slip Arr Mid Px at Arrival Mid
DAct Slip Arr Mark Vol,    -0.41%,     0.00%,    -0.41%,Implied volatility of DTheo Slip Arr Mark Px at Arrival Mid
