,Maker,Taker,Total,Desc
Order,,,,Sell 1000 SPX 20210416 3725 Put  Buy 1000 SPX 20210416 3920 Put  
Arrival Mid,     47.10,      0.00,     47.10,Mid at first available time
Arrival Mark,     47.24,      0.00,     47.24,SR Mark at first available time
Arrival U Mid,   3926.35,      0.00,   3926.35,Mid of underlying at first available time
Arrival Mid Vol,    -5.34%,     0.00%,    -5.34%,Implied volatility of Arrival Mid at Arrival U Mid
Arrival Mark Vol,    -5.31%,     0.00%,    -5.31%,Implied volatility of Arrival Mark at Arrival U Mid
Delta,      -26%,        0%,      -26%,Option Contract Delta
Vega,      1.21,      0.00,      1.21,Option Contract Vega
Child Orders,        12,         0,        12,Number of child orders which had fills
Avg Child Size,       172,         0,       172,Avg size of child orders which had fills
Filled Ctr,"     1,000",         0,"     1,000",Total number of contracts filled
Ctr Fill Rate,       48%,        0%,       48%,Filled Contracts divided by total size sent by child orders which had fills
Avg Fill Pct Spread,   105.27%,     0.00%,   105.27%,0% means fill is on bid at fill time; 100% means offer
Exec Px,     47.78,      0.00,     47.78,Average filled price
Px Range,      0.30,      0.00,      0.30,High minus low fill price
Slip Arr Mid Px,     -0.34,      0.00,     -0.34,Amount by which Exec Px was more favorable than mid at order creation
Slip Arr Mid USD,"   -34,400",         0,"   -34,400",Above  * contracts filled * contract multiplier
Slip Arr Mark Px,     -0.31,      0.00,     -0.31,Amount by which Exec Px was more favorable than SR mark at order creation
Slip Arr Mark USD,"   -31,278",         0,"   -31,278",Above  * contracts filled * contract multiplier
Theo U Mid,   3925.94,      0.00,   3925.94,Average underlying price if hedging mid-market each fill time
Exec DTheo Arr Mid Px,     47.67,      0.00,     47.67,Exec Px delta-adjusted from Theo U Mid to Arrival Mid
DTheo Px Range,      0.18,      0.00,      0.18,High minus low delta-adjusted fill price
DTheo Slip Arr Mid Px,     -0.06,      0.00,     -0.06,Amount by which Exec DTheo Arr Mid Px was more favorable than Arrival Mid
DTheo Slip Arr Mid USD,"    -5,841",         0,"    -5,841",Above  * contracts filled * contract multiplier
DTheo Slip Arr Mark Px,     -0.03,      0.00,     -0.03,Amount by which Exec DTheo Arr Mid Px was more favorable than Arrival Mark
DTheo Slip Arr Mark USD,"    -2,719",         0,"    -2,719",Above  * contracts filled * contract multiplier
Exec DTheo Vol,    -5.21%,     0.00%,    -5.21%,Implied volatility of Exec DTheo Arr Mid Px at Arrival Mid
DTheo Vol Range,     0.05%,     0.00%,     0.05%,High minus low vol
DTheo Slip Arr Mid Vol,     0.01%,     0.00%,     0.01%,Implied volatility of DTheo Slip Arr Mid Px at Arrival Mid
DTheo Slip Arr Mark Vol,     0.01%,     0.00%,     0.01%,Implied volatility of DTheo Slip Arr Mark Px at Arrival Mid
Act U Mid,   3925.92,      0.00,   3925.92,Actual average underlying price from executed hedge
Exec DAct Arr Mid Px,     47.67,      0.00,     47.67,Exec Px delta-adjusted from Act U Mid to Arrival Mid
DAct Slip Arr Mid Px,     -0.04,      0.00,     -0.04,Amount by which Exec DAct Arr Mid Px was more favorable than Arrival Mid
DAct Slip Arr Mid USD,"    -3,915",         0,"    -3,915",Above  * contracts filled * contract multiplier
DAct Slip Arr Mark Px,     -0.01,      0.00,     -0.01,Amount by which Exec DAct Arr Mid Px was more favorable than Arrival Mark
DAct Slip Arr Mark USD,      -793,         0,      -793,Above  * contracts filled * contract multiplier
Exec DAct Vol,    -5.21%,     0.00%,    -5.21%,Implied volatility of Exec DAct Arr Mid Px at Arrival Mid
DAct Slip Arr Mid Vol,     0.01%,     0.00%,     0.01%,Implied volatility of DTheo Slip Arr Mid Px at Arrival Mid
DAct Slip Arr Mark Vol,     0.01%,     0.00%,     0.01%,Implied volatility of DTheo Slip Arr Mark Px at Arrival Mid
