,Maker,Taker,Total,Desc
Order,,,,Sell 1000 SPX 20210416 3725 Put  Buy 1000 SPX 20210416 3920 Put  
Arrival Mid,     48.80,      0.00,     48.80,Mid at first available time
Arrival Mark,     49.03,      0.00,     49.03,SR Mark at first available time
Arrival U Mid,   3920.00,      0.00,   3920.00,Mid of underlying at first available time
Arrival Mid Vol,    -5.34%,     0.00%,    -5.34%,Implied volatility of Arrival Mid at Arrival U Mid
Arrival Mark Vol,    -5.29%,     0.00%,    -5.29%,Implied volatility of Arrival Mark at Arrival U Mid
Delta,      -26%,        0%,      -26%,Option Contract Delta
Vega,      1.15,      0.00,      1.15,Option Contract Vega
Child Orders,        13,         0,        13,Number of child orders which had fills
Avg Child Size,        91,         0,        91,Avg size of child orders which had fills
Filled Ctr,"     1,000",         0,"     1,000",Total number of contracts filled
Ctr Fill Rate,       84%,        0%,       84%,Filled Contracts divided by total size sent by child orders which had fills
Avg Fill Pct Spread,   106.71%,     0.00%,   106.71%,0% means fill is on bid at fill time; 100% means offer
Exec Px,     47.52,      0.00,     47.52,Average filled price
Px Range,      9.83,      0.00,      9.83,High minus low fill price
Slip Arr Mid Px,      1.28,      0.00,      1.28,Amount by which Exec Px was more favorable than mid at order creation
Slip Arr Mid USD,"   128,030",         0,"   128,030",Above  * contracts filled * contract multiplier
Slip Arr Mark Px,      1.51,      0.00,      1.51,Amount by which Exec Px was more favorable than SR mark at order creation
Slip Arr Mark USD,"   150,641",         0,"   150,641",Above  * contracts filled * contract multiplier
Theo U Mid,   3926.31,      0.00,   3926.31,Average underlying price if hedging mid-market each fill time
Exec DTheo Arr Mid Px,     49.19,      0.00,     49.19,Exec Px delta-adjusted from Theo U Mid to Arrival Mid
DTheo Px Range,      2.90,      0.00,      2.90,High minus low delta-adjusted fill price
DTheo Slip Arr Mid Px,     -0.39,      0.00,     -0.39,Amount by which Exec DTheo Arr Mid Px was more favorable than Arrival Mid
DTheo Slip Arr Mid USD,"   -38,799",         0,"   -38,799",Above  * contracts filled * contract multiplier
DTheo Slip Arr Mark Px,     -0.16,      0.00,     -0.16,Amount by which Exec DTheo Arr Mid Px was more favorable than Arrival Mark
DTheo Slip Arr Mark USD,"   -16,188",         0,"   -16,188",Above  * contracts filled * contract multiplier
Exec DTheo Vol,    -5.16%,     0.00%,    -5.16%,Implied volatility of Exec DTheo Arr Mid Px at Arrival Mid
DTheo Vol Range,     0.62%,     0.00%,     0.62%,High minus low vol
DTheo Slip Arr Mid Vol,    -0.17%,     0.00%,    -0.17%,Implied volatility of DTheo Slip Arr Mid Px at Arrival Mid
DTheo Slip Arr Mark Vol,    -0.12%,     0.00%,    -0.12%,Implied volatility of DTheo Slip Arr Mark Px at Arrival Mid
Act U Mid,   3925.79,      0.00,   3925.79,Actual average underlying price from executed hedge
Exec DAct Arr Mid Px,     49.05,      0.00,     49.05,Exec Px delta-adjusted from Act U Mid to Arrival Mid
DAct Slip Arr Mid Px,     -0.25,      0.00,     -0.25,Amount by which Exec DAct Arr Mid Px was more favorable than Arrival Mid
DAct Slip Arr Mid USD,"   -25,090",         0,"   -25,090",Above  * contracts filled * contract multiplier
DAct Slip Arr Mark Px,     -0.02,      0.00,     -0.02,Amount by which Exec DAct Arr Mid Px was more favorable than Arrival Mark
DAct Slip Arr Mark USD,"    -2,478",         0,"    -2,478",Above  * contracts filled * contract multiplier
Exec DAct Vol,    -5.19%,     0.00%,    -5.19%,Implied volatility of Exec DAct Arr Mid Px at Arrival Mid
DAct Slip Arr Mid Vol,    -0.15%,     0.00%,    -0.15%,Implied volatility of DTheo Slip Arr Mid Px at Arrival Mid
DAct Slip Arr Mark Vol,    -0.10%,     0.00%,    -0.10%,Implied volatility of DTheo Slip Arr Mark Px at Arrival Mid
