,Maker,Taker,Total,Desc
Arrival Mid,      0.00,    114.95,    114.95,Mid at order creation
Arrival Mark,      0.00,    114.79,    114.79,SR Mark at order creation
Arrival U Mid,      0.00,   3780.69,   3780.69,Mid of underlying at order creation
Arrival Mid Vol,     0.00%,    22.80%,    22.80%,Implied volatility of Arrival Mid at Arrival U Mid
Arrival Mark Vol,     0.00%,    22.77%,    22.77%,Implied volatility of Arrival Mark at Arrival U Mid
Qwap,      0.00,    118.27,    118.27,SR-calculated Qwap (or Vwap for a stock only order)
Qwap U,      0.00,   3785.98,   3785.98,SR-calculated Qwap for underlying price
Qwap Vol,     0.00%,    22.94%,    22.94%,Implied volatility of Qwap at Qwap U
Delta,        0%,       47%,       47%,Option Contract Delta
Vega,      0.00,      5.57,      5.57,Option Contract Vega
Child Orders,         0,         5,         5,Number of child orders which had fills
Avg Child Size,         0,        38,        38,Avg size of child orders which had fills
Filled Ctr,         0,        95,        95,Total number of contracts filled
Ctr Fill Rate,        0%,       50%,       50%,Filled Contracts divided by total size sent by child orders which had fills
Avg Fill Pct Spread,     0.00%,     0.00%,     0.00%,0% means fill is on bid at fill time; 100% means offer
Exec Px,      0.00,    116.79,    116.79,Average filled price
Px Range,      0.00,      8.10,      8.10,High minus low fill price
Slip Arr Mid Px,      0.00,      1.84,      1.84,Amount by which Exec Px was more favorable than mid at order creation
Slip Arr Mid USD,         0,"    17,525","    17,525",Above  * contracts filled * contract multiplier
Slip Arr Mark Px,      0.00,      2.00,      2.00,Amount by which Exec Px was more favorable than SR mark at order creation
Slip Arr Mark USD,         0,"    19,003","    19,003",Above  * contracts filled * contract multiplier
Slip Qwap Px,      0.00,     -1.47,     -1.47,Amount by which Exec Px was more favorable than Qwap
Slip Qwap USD,         0,"   -13,996","   -13,996",Above  * contracts filled * contract multiplier
Theo U Mid,      0.00,   3781.56,   3781.56,Average underlying price if hedging mid-market each fill time
Exec DTheo Arr Mid Px,      0.00,    116.38,    116.38,Exec Px delta-adjusted from Theo U Mid to Arrival Mid
DTheo Px Range,      0.00,      1.39,      1.39,High minus low delta-adjusted fill price
DTheo Slip Arr Mid Px,      0.00,      1.43,      1.43,Amount by which Exec DTheo Arr Mid Px was more favorable than Arrival Mid
DTheo Slip Arr Mid USD,         0,"    13,610","    13,610",Above  * contracts filled * contract multiplier
DTheo Slip Arr Mark Px,      0.00,      1.59,      1.59,Amount by which Exec DTheo Arr Mid Px was more favorable than Arrival Mark
DTheo Slip Arr Mark USD,         0,"    15,087","    15,087",Above  * contracts filled * contract multiplier
Exec DTheo Qwap Px,      0.00,    118.89,    118.89,Exec Px delta-adjusted from Theo U Mid to Qwap U
DTheo Slip Qwap Px,      0.00,      0.62,      0.62,Amount by which Exec DTheo Qwap Px was more favorable than Qwap
DTheo Slip Qwap USD,         0,"     5,910","     5,910",Above  * contracts filled * contract multiplier
Exec DTheo Vol,     0.00%,    23.05%,    23.05%,Implied volatility of Exec DTheo Arr Mid Px at Arrival Mid
DTheo Vol Range,     0.00%,     0.25%,     0.25%,High minus low vol
DTheo Slip Arr Mid Vol,     0.00%,     0.26%,     0.26%,Implied volatility of DTheo Slip Arr Mid Px at Arrival Mid
DTheo Slip Arr Mark Vol,     0.00%,     0.29%,     0.29%,Implied volatility of DTheo Slip Arr Mark Px at Arrival Mid
DTheo Slip Qwap Vol,     0.00%,     0.11%,     0.11%,Implied volatility of DTheo Slip Qwap Px at Qwap U
Act U Mid,      0.00,   3785.80,   3785.80,Actual average underlying price from executed hedge
Exec DAct Arr Mid Px,      0.00,    114.37,    114.37,Exec Px delta-adjusted from Act U Mid to Arrival Mid
DAct Slip Arr Mid Px,      0.00,     -0.58,     -0.58,Amount by which Exec DAct Arr Mid Px was more favorable than Arrival Mid
DAct Slip Arr Mid USD,         0,"    -5,490","    -5,490",Above  * contracts filled * contract multiplier
DAct Slip Arr Mark Px,      0.00,     -0.42,     -0.42,Amount by which Exec DAct Arr Mid Px was more favorable than Arrival Mark
DAct Slip Arr Mark USD,         0,"    -4,013","    -4,013",Above  * contracts filled * contract multiplier
Exec DAct Qwap Px,      0.00,    116.88,    116.88,Exec Px delta-adjusted from Act U Mid to Qwap U
DAct Slip Qwap Px,      0.00,     -1.39,     -1.39,Amount by which Exec DAct Qwap Px was more favorable than Qwap
DActSlip Qwap USD,         0,"   -13,190","   -13,190",Above  * contracts filled * contract multiplier
Exec DAct Vol,     0.00%,    22.69%,    22.69%,Implied volatility of Exec DAct Arr Mid Px at Arrival Mid
DAct Slip Arr Mid Vol,     0.00%,    -0.10%,    -0.10%,Implied volatility of DTheo Slip Arr Mid Px at Arrival Mid
DAct Slip Arr Mark Vol,     0.00%,    -0.08%,    -0.08%,Implied volatility of DTheo Slip Arr Mark Px at Arrival Mid
DAct Slip Qwap Vol,     0.00%,    -0.25%,    -0.25%,Implied volatility of DTheo Slip Qwap Px at Qwap U
