,Maker,Taker,Total,Desc
Arrival Mid,      0.00,    105.90,    105.90,Mid at order creation
Arrival Mark,      0.00,    105.75,    105.75,SR Mark at order creation
Arrival U Mid,      0.00,   3780.69,   3780.69,Mid of underlying at order creation
Arrival Mid Vol,     0.00%,    22.36%,    22.36%,Implied volatility of Arrival Mid at Arrival U Mid
Arrival Mark Vol,     0.00%,    22.33%,    22.33%,Implied volatility of Arrival Mark at Arrival U Mid
Qwap,      0.00,    109.09,    109.09,SR-calculated Qwap (or Vwap for a stock only order)
Qwap U,      0.00,   3785.97,   3785.97,SR-calculated Qwap for underlying price
Qwap Vol,     0.00%,    22.50%,    22.50%,Implied volatility of Qwap at Qwap U
Delta,        0%,       46%,       46%,Option Contract Delta
Vega,      0.00,      5.55,      5.55,Option Contract Vega
Child Orders,         0,         7,         7,Number of child orders which had fills
Avg Child Size,         0,        35,        35,Avg size of child orders which had fills
Filled Ctr,         0,       139,       139,Total number of contracts filled
Ctr Fill Rate,        0%,       57%,       57%,Filled Contracts divided by total size sent by child orders which had fills
Avg Fill Pct Spread,     0.00%,     0.00%,     0.00%,0% means fill is on bid at fill time; 100% means offer
Exec Px,      0.00,    109.85,    109.85,Average filled price
Px Range,      0.00,      7.20,      7.20,High minus low fill price
Slip Arr Mid Px,      0.00,      3.95,      3.95,Amount by which Exec Px was more favorable than mid at order creation
Slip Arr Mid USD,         0,"    54,850","    54,850",Above  * contracts filled * contract multiplier
Slip Arr Mark Px,      0.00,      4.10,      4.10,Amount by which Exec Px was more favorable than SR mark at order creation
Slip Arr Mark USD,         0,"    56,972","    56,972",Above  * contracts filled * contract multiplier
Slip Qwap Px,      0.00,      0.76,      0.76,Amount by which Exec Px was more favorable than Qwap
Slip Qwap USD,         0,"    10,509","    10,509",Above  * contracts filled * contract multiplier
Theo U Mid,      0.00,   3785.63,   3785.63,Average underlying price if hedging mid-market each fill time
Exec DTheo Arr Mid Px,      0.00,    107.59,    107.59,Exec Px delta-adjusted from Theo U Mid to Arrival Mid
DTheo Px Range,      0.00,      1.34,      1.34,High minus low delta-adjusted fill price
DTheo Slip Arr Mid Px,      0.00,      1.69,      1.69,Amount by which Exec DTheo Arr Mid Px was more favorable than Arrival Mid
DTheo Slip Arr Mid USD,         0,"    23,500","    23,500",Above  * contracts filled * contract multiplier
DTheo Slip Arr Mark Px,      0.00,      1.84,      1.84,Amount by which Exec DTheo Arr Mid Px was more favorable than Arrival Mark
DTheo Slip Arr Mark USD,         0,"    25,622","    25,622",Above  * contracts filled * contract multiplier
Exec DTheo Qwap Px,      0.00,    110.00,    110.00,Exec Px delta-adjusted from Theo U Mid to Qwap U
DTheo Slip Qwap Px,      0.00,      0.91,      0.91,Amount by which Exec DTheo Qwap Px was more favorable than Qwap
DTheo Slip Qwap USD,         0,"    12,644","    12,644",Above  * contracts filled * contract multiplier
Exec DTheo Vol,     0.00%,    22.66%,    22.66%,Implied volatility of Exec DTheo Arr Mid Px at Arrival Mid
DTheo Vol Range,     0.00%,     0.24%,     0.24%,High minus low vol
DTheo Slip Arr Mid Vol,     0.00%,     0.30%,     0.30%,Implied volatility of DTheo Slip Arr Mid Px at Arrival Mid
DTheo Slip Arr Mark Vol,     0.00%,     0.33%,     0.33%,Implied volatility of DTheo Slip Arr Mark Px at Arrival Mid
DTheo Slip Qwap Vol,     0.00%,     0.16%,     0.16%,Implied volatility of DTheo Slip Qwap Px at Qwap U
Act U Mid,      0.00,   3787.13,   3787.13,Actual average underlying price from executed hedge
Exec DAct Arr Mid Px,      0.00,    106.91,    106.91,Exec Px delta-adjusted from Act U Mid to Arrival Mid
DAct Slip Arr Mid Px,      0.00,      1.01,      1.01,Amount by which Exec DAct Arr Mid Px was more favorable than Arrival Mid
DAct Slip Arr Mid USD,         0,"    14,023","    14,023",Above  * contracts filled * contract multiplier
DAct Slip Arr Mark Px,      0.00,      1.16,      1.16,Amount by which Exec DAct Arr Mid Px was more favorable than Arrival Mark
DAct Slip Arr Mark USD,         0,"    16,144","    16,144",Above  * contracts filled * contract multiplier
Exec DAct Qwap Px,      0.00,    109.32,    109.32,Exec Px delta-adjusted from Act U Mid to Qwap U
DAct Slip Qwap Px,      0.00,      0.23,      0.23,Amount by which Exec DAct Qwap Px was more favorable than Qwap
DActSlip Qwap USD,         0,"     3,166","     3,166",Above  * contracts filled * contract multiplier
Exec DAct Vol,     0.00%,    22.54%,    22.54%,Implied volatility of Exec DAct Arr Mid Px at Arrival Mid
DAct Slip Arr Mid Vol,     0.00%,     0.18%,     0.18%,Implied volatility of DTheo Slip Arr Mid Px at Arrival Mid
DAct Slip Arr Mark Vol,     0.00%,     0.21%,     0.21%,Implied volatility of DTheo Slip Arr Mark Px at Arrival Mid
DAct Slip Qwap Vol,     0.00%,     0.04%,     0.04%,Implied volatility of DTheo Slip Qwap Px at Qwap U
