,Maker,Taker,Total,Desc
Order,,0.0,,SPX 20210416 3725 Put SPX 20210416 3920 Put 
Arrival Mid,48.7999973,0.0,48.7999973,Mid at first available time
Arrival Mark,49.02611159999999,0.0,49.02611159999999,SR Mark at first available time
Arrival U Mid,3919.99694825,0.0,3919.99694825,Mid of underlying at first available time
Arrival Mid Vol,-0.053383829073716325,0.0,-0.053383829073716325,Implied volatility of Arrival Mid at Arrival U Mid
Arrival Mark Vol,-0.05287835249841686,0.0,-0.05287835249841686,Implied volatility of Arrival Mark at Arrival U Mid
Qwap,,0.0,,SR-calculated Qwap (or Vwap for a stock only order)
Qwap U,,0.0,,SR-calculated Qwap for underlying price
Qwap Vol,,0.0,,Implied volatility of Qwap at Qwap U
Delta,-0.26431,0.0,-0.26431,Option Contract Delta
Vega,1.1457000000000002,0.0,1.1457000000000002,Option Contract Vega
Child Orders,13,0.0,13,Number of child orders which had fills
Avg Child Size,91.07692307692308,0.0,91.07692307692308,Avg size of child orders which had fills
Filled Ctr,1000,0.0,1000,Total number of contracts filled
Ctr Fill Rate,0.8445945945945946,0.0,0.8445945945945946,Filled Contracts divided by total size sent by child orders which had fills
Avg Fill Pct Spread,1.067062930643955,0.0,1.067062930643955,0% means fill is on bid at fill time; 100% means offer
Exec Px,47.51969925349999,0.0,47.51969925349999,Average filled price
Px Range,5.424999299999996,0.0,5.424999299999996,High minus low fill price
Slip Arr Mid Px,7.0422987101,0.0,7.0422987101,Amount by which Exec Px was more favorable than mid at order creation
Slip Arr Mid USD,704229.87101,0.0,704229.87101,Above  * contracts filled * contract multiplier
Slip Arr Mark Px,7.1604075101,0.0,7.1604075101,Amount by which Exec Px was more favorable than SR mark at order creation
Slip Arr Mark USD,716040.75101,0.0,716040.75101,Above  * contracts filled * contract multiplier
Slip Qwap Px,,0.0,,Amount by which Exec Px was more favorable than Qwap
Slip Qwap USD,,0.0,,Above  * contracts filled * contract multiplier
Theo U Mid,3926.3088153059502,0.0,3926.3088153059502,Average underlying price if hedging mid-market each fill time
Exec DTheo Arr Mid Px,49.187988835058185,0.0,49.187988835058185,Exec Px delta-adjusted from Theo U Mid to Arrival Mid
DTheo Px Range,2.2835997734999935,0.0,2.2835997734999935,High minus low delta-adjusted fill price
DTheo Slip Arr Mid Px,2.4705502828047154,0.0,2.4705502828047154,Amount by which Exec DTheo Arr Mid Px was more favorable than Arrival Mid
DTheo Slip Arr Mid USD,247055.0282804716,0.0,247055.0282804716,Above  * contracts filled * contract multiplier
DTheo Slip Arr Mark Px,2.5886590828047176,0.0,2.5886590828047176,Amount by which Exec DTheo Arr Mid Px was more favorable than Arrival Mark
DTheo Slip Arr Mark USD,258865.90828047175,0.0,258865.90828047175,Above  * contracts filled * contract multiplier
Exec DTheo Qwap Px,,0.0,,Exec Px delta-adjusted from Theo U Mid to Qwap U
DTheo Slip Qwap Px,,0.0,,Amount by which Exec DTheo Qwap Px was more favorable than Qwap
DTheo Slip Qwap USD,,0.0,,Above  * contracts filled * contract multiplier
Exec DTheo Vol,-0.05164661540778735,0.0,-0.05164661540778735,Implied volatility of Exec DTheo Arr Mid Px at Arrival Mid
DTheo Vol Range,0.006236191470158509,0.0,0.006236191470158509,High minus low vol
DTheo Slip Arr Mid Vol,0.006069064084014112,0.0,0.006069064084014112,Implied volatility of DTheo Slip Arr Mid Px at Arrival Mid
DTheo Slip Arr Mark Vol,0.006279592750469751,0.0,0.006279592750469751,Implied volatility of DTheo Slip Arr Mark Px at Arrival Mid
DTheo Slip Qwap Vol,,0.0,,Implied volatility of DTheo Slip Qwap Px at Qwap U
Act U Mid,3925.790124086326,0.0,3925.790124086326,Actual average underlying price from executed hedge
Exec DAct Arr Mid Px,49.050893558799345,0.0,49.050893558799345,Exec Px delta-adjusted from Act U Mid to Arrival Mid
DAct Slip Arr Mid Px,2.8462435200906384,0.0,2.8462435200906384,Amount by which Exec DAct Arr Mid Px was more favorable than Arrival Mid
DAct Slip Arr Mid USD,284624.3520090638,0.0,284624.3520090638,Above  * contracts filled * contract multiplier
DAct Slip Arr Mark Px,2.96435232009064,0.0,2.96435232009064,Amount by which Exec DAct Arr Mid Px was more favorable than Arrival Mark
DAct Slip Arr Mark USD,296435.23200906394,0.0,296435.23200906394,Above  * contracts filled * contract multiplier
Exec DAct Qwap Px,,0.0,,Exec Px delta-adjusted from Act U Mid to Qwap U
DAct Slip Qwap Px,,0.0,,Amount by which Exec DAct Qwap Px was more favorable than Qwap
DActSlip Qwap USD,,0.0,,Above  * contracts filled * contract multiplier
Exec DAct Vol,-0.051854142424030754,0.0,-0.051854142424030754,Implied volatility of Exec DAct Arr Mid Px at Arrival Mid
DAct Slip Arr Mid Vol,0.006928168748241619,0.0,0.006928168748241619,Implied volatility of DTheo Slip Arr Mid Px at Arrival Mid
DAct Slip Arr Mark Vol,0.007138697414697259,0.0,0.007138697414697259,Implied volatility of DTheo Slip Arr Mark Px at Arrival Mid
DAct Slip Qwap Vol,,0.0,,Implied volatility of DTheo Slip Qwap Px at Qwap U
