,Maker,Taker,Total,Desc
Order,,,,Sell 1000 SPX 20210416 3725 Put 
Arrival Mid,     37.40,      0.00,     37.40,Mid at first available time
Arrival Mark,     37.35,      0.00,     37.35,SR Mark at first available time
Arrival U Mid,   3926.35,      0.00,   3926.35,Mid of underlying at first available time
Arrival Mid Vol,    23.20%,     0.00%,    23.20%,Implied volatility of Arrival Mid at Arrival U Mid
Arrival Mark Vol,    23.19%,     0.00%,    23.19%,Implied volatility of Arrival Mark at Arrival U Mid
Delta,      -22%,        0%,      -22%,Option Contract Delta
Vega,      3.61,      0.00,      3.61,Option Contract Vega
Child Orders,        12,         0,        12,Number of child orders which had fills
Avg Child Size,       172,         0,       172,Avg size of child orders which had fills
Filled Ctr,"     1,000",         0,"     1,000",Total number of contracts filled
Ctr Fill Rate,       48%,        0%,       48%,Filled Contracts divided by total size sent by child orders which had fills
Avg Fill Pct Spread,   -14.07%,     0.00%,   -14.07%,0% means fill is on bid at fill time; 100% means offer
Exec Px,     37.23,      0.00,     37.23,Average filled price
Px Range,      0.30,      0.00,      0.30,High minus low fill price
Slip Arr Mid Px,     -0.17,      0.00,     -0.17,Amount by which Exec Px was more favorable than mid at order creation
Slip Arr Mid USD,"   -16,680",         0,"   -16,680",Above  * contracts filled * contract multiplier
Slip Arr Mark Px,     -0.11,      0.00,     -0.11,Amount by which Exec Px was more favorable than SR mark at order creation
Slip Arr Mark USD,"   -11,431",         0,"   -11,431",Above  * contracts filled * contract multiplier
Theo U Mid,   3925.94,      0.00,   3925.94,Average underlying price if hedging mid-market each fill time
Exec DTheo Arr Mid Px,     37.14,      0.00,     37.14,Exec Px delta-adjusted from Theo U Mid to Arrival Mid
DTheo Px Range,      0.18,      0.00,      0.18,High minus low delta-adjusted fill price
DTheo Slip Arr Mid Px,     -0.26,      0.00,     -0.26,Amount by which Exec DTheo Arr Mid Px was more favorable than Arrival Mid
DTheo Slip Arr Mid USD,"   -25,706",         0,"   -25,706",Above  * contracts filled * contract multiplier
DTheo Slip Arr Mark Px,     -0.20,      0.00,     -0.20,Amount by which Exec DTheo Arr Mid Px was more favorable than Arrival Mark
DTheo Slip Arr Mark USD,"   -20,457",         0,"   -20,457",Above  * contracts filled * contract multiplier
Exec DTheo Vol,    23.13%,     0.00%,    23.13%,Implied volatility of Exec DTheo Arr Mid Px at Arrival Mid
DTheo Vol Range,     0.05%,     0.00%,     0.05%,High minus low vol
DTheo Slip Arr Mid Vol,    -0.07%,     0.00%,    -0.07%,Implied volatility of DTheo Slip Arr Mid Px at Arrival Mid
DTheo Slip Arr Mark Vol,    -0.06%,     0.00%,    -0.06%,Implied volatility of DTheo Slip Arr Mark Px at Arrival Mid
Act U Mid,   3925.92,      0.00,   3925.92,Actual average underlying price from executed hedge
Exec DAct Arr Mid Px,     37.14,      0.00,     37.14,Exec Px delta-adjusted from Act U Mid to Arrival Mid
DAct Slip Arr Mid Px,     -0.26,      0.00,     -0.26,Amount by which Exec DAct Arr Mid Px was more favorable than Arrival Mid
DAct Slip Arr Mid USD,"   -26,314",         0,"   -26,314",Above  * contracts filled * contract multiplier
DAct Slip Arr Mark Px,     -0.21,      0.00,     -0.21,Amount by which Exec DAct Arr Mid Px was more favorable than Arrival Mark
DAct Slip Arr Mark USD,"   -21,066",         0,"   -21,066",Above  * contracts filled * contract multiplier
Exec DAct Vol,    23.13%,     0.00%,    23.13%,Implied volatility of Exec DAct Arr Mid Px at Arrival Mid
DAct Slip Arr Mid Vol,    -0.07%,     0.00%,    -0.07%,Implied volatility of DTheo Slip Arr Mid Px at Arrival Mid
DAct Slip Arr Mark Vol,    -0.06%,     0.00%,    -0.06%,Implied volatility of DTheo Slip Arr Mark Px at Arrival Mid
